38	38_ferrero_Introducing…Ferrero Rocher Bars.mp4	22	https://cognitivestudy.blob.core.windows.net/videos/38_ferrero_Introducing…Ferrero Rocher Bars.mp4	15020	Title+Desc+38_ferrero_Introducing…Ferrero Rocher Bars.mp4
40	40_skechers_Skechers Kids Stretch Fit Commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/40_skechers_Skechers Kids Stretch Fit Commercial.mp4	15020	Title+Desc+40_skechers_Skechers Kids Stretch Fit Commercial.mp4
41	41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair.mp4	85	https://cognitivestudy.blob.core.windows.net/videos/41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair.mp4	15020	Title+Desc+41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair.mp4
42	42_skechers_Skechers Arch Fit commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/42_skechers_Skechers Arch Fit commercial.mp4	15020	Title+Desc+42_skechers_Skechers Arch Fit commercial.mp4
43	43_lexus(all vids are unique but only lexus splash screen after 28 sec)_The L_Certified Lexus of Your Dreams _ Lexus.mp4	103	https://cognitivestudy.blob.core.windows.net/videos/43_lexus(all vids are unique but only lexus splash screen after 28 sec)_The L_Certified Lexus of Your Dreams _ Lexus.mp4	45050	Title+Desc+43_lexus(all vids are unique but only lexus splash screen after 28 sec)_The L_Certified Lexus of Your Dreams _ Lexus.mp4
44	44_tesla_Introducing Model Y.mp4	50	https://cognitivestudy.blob.core.windows.net/videos/44_tesla_Introducing Model Y.mp4	25030	Title+Desc+44_tesla_Introducing Model Y.mp4
45	45_prada_Prada Spring_Summer 2015 Eyewear Campaign.mp4	42	https://cognitivestudy.blob.core.windows.net/videos/45_prada_Prada Spring_Summer 2015 Eyewear Campaign.mp4	26660	Title+Desc+45_prada_Prada Spring_Summer 2015 Eyewear Campaign.mp4
46	46_skechers_Skechers Sandals Commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/46_skechers_Skechers Sandals Commercial.mp4	15070	Title+Desc+46_skechers_Skechers Sandals Commercial.mp4
47	47_mccain_McCain and Family Fund_ Little Moments TV Advert 30 Seconds.mp4	104	https://cognitivestudy.blob.core.windows.net/videos/47_mccain_McCain and Family Fund_ Little Moments TV Advert 30 Seconds.mp4	30050	Title+Desc+47_mccain_McCain and Family Fund_ Little Moments TV Advert 30 Seconds.mp4
48	48_frito lay_Frito-Lay _ ‘Twas the Night Before Super Bowl _ _30.mp4	79	https://cognitivestudy.blob.core.windows.net/videos/48_frito lay_Frito-Lay _ ‘Twas the Night Before Super Bowl _ _30.mp4	30050	Title+Desc+48_frito lay_Frito-Lay _ ‘Twas the Night Before Super Bowl _ _30.mp4
49	49_mcdonalds_McDonald's Buy One, Get One for $1 - Backup McNuggets.mp4	204	https://cognitivestudy.blob.core.windows.net/videos/49_mcdonalds_McDonald's Buy One, Get One for $1 - Backup McNuggets.mp4	15020	Title+Desc+49_mcdonalds_McDonald's Buy One, Get One for $1 - Backup McNuggets.mp4
50	50_kelloggs_Kellogg’s Chocos Fills Excuses _ English _ 25secs.mp4	161	https://cognitivestudy.blob.core.windows.net/videos/50_kelloggs_Kellogg’s Chocos Fills Excuses _ English _ 25secs.mp4	25010	Title+Desc+50_kelloggs_Kellogg’s Chocos Fills Excuses _ English _ 25secs.mp4
52	52_sap concur_SAP Concur solutions_ Wine.mp4	47	https://cognitivestudy.blob.core.windows.net/videos/52_sap concur_SAP Concur solutions_ Wine.mp4	15070	Title+Desc+52_sap concur_SAP Concur solutions_ Wine.mp4
53	53_mastercard_MasterCard_ Days That Change Everything (Canadian Tire).mp4	252	https://cognitivestudy.blob.core.windows.net/videos/53_mastercard_MasterCard_ Days That Change Everything (Canadian Tire).mp4	31970	Title+Desc+53_mastercard_MasterCard_ Days That Change Everything (Canadian Tire).mp4
54	54_skechers_Skechers GO WALK Pants commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/54_skechers_Skechers GO WALK Pants commercial.mp4	15020	Title+Desc+54_skechers_Skechers GO WALK Pants commercial.mp4
